timestamp;open;high;low;close
2022-05-01;35768.542969;36635.972656;35647.636719;36515.671875
2022-05-02;36518.609375;37167.527344;36357.863281;36660.191406
2022-05-03;36659.035156;36719.820313;35711.640625;35865.914063
2022-05-04;35863.59375;37683.828125;35831.230469;37377.128906
2022-05-05;37374.65625;37479.4375;34032.960938;34702.277344
2022-05-06;34700.414063;34757.800781;33570.816406;34167.515625
2022-05-07;34169.015625;34251.890625;33124.601563;33656.5625
2022-05-08;33657.496094;33657.496094;32143.244141;32338.113281
2022-05-09;32338.826172;32533.076172;28681.095703;28681.095703
2022-05-10;28659.039063;30856.837891;28347.607422;29463.818359
2022-05-11;29457.433594;30325.943359;26794.289063;27527.039063
2022-05-12;27527.398438;28532.648438;25197.892578;27988.466797
2022-05-13;27972.240234;29749.226563;27733.041016;28124.664063
2022-05-14;28127.103516;28998.375;27567.421875;28910.460938
2022-05-15;28907.886719;30108.962891;28359.623047;30106.001953
2022-05-16;30105.291016;30106.222656;28059.666016;28606.675781
2022-05-17;28606.185547;29153.964844;28087.5;28842.556641
2022-05-18;28841.25;28996.382813;27422.689453;27422.689453
2022-05-19;27422.773438;28738.650391;27379.529297;28653.017578
2022-05-20;28649.978516;28987.601563;27297.951172;27637.302734
2022-05-21;27636.46875;28004.650391;27473.238281;27856.394531
2022-05-22;27856.628906;28770.267578;27707.759766;28690.759766
2022-05-23;28677.205078;28839.826172;27123.064453;27236.609375
2022-05-24;27238.681641;27733.650391;26835.779297;27630.464844
2022-05-25;27628.181641;28148.824219;27579.449219;27662.0625
2022-05-26;27664.322266;27900.90625;26415.78125;27268.742188
2022-05-27;27253.755859;27332.509766;26394.171875;26674.601563
2022-05-28;26669.990234;26849.146484;26606.574219;26849.146484
2022-05-29;27040.132813;27486.480469;26873.566406;27443.308594
2022-05-30;27440.892578;29631.015625;27310.224609;29448.53125
2022-05-31;29446.1875;30046.552734;29248.611328;29616.634766
2022-06-01;29616.861328;29788.951172;27699.986328;27979.697266
2022-06-02;27975.763672;28473.605469;27821.353516;28337.810547
2022-06-03;28338.107422;28471.873047;27401.083984;27708.939453
2022-06-04;27710.570313;27922.912109;27518.285156;27831.8125
2022-06-05;27833.867188;28097.535156;27590.683594;27881.742188
2022-06-06;27885.119141;29626.507813;27865.507813;29346.384766
2022-06-07;29347.384766;29415.992188;27457.542969;29123.798828
2022-06-08;29120.060547;29219.076172;28037.962891;28192.894531
2022-06-09;28193.755859;28560.138672;28284.824219;28356.046875
2022-06-10;28354.476563;28450.841797;27545.003906;27648.169922
2022-06-11;27648.988281;27950.578125;26840.496094;26958.935547
2022-06-12;26971.011719;27093.796875;25513.984375;25513.984375
2022-06-13;25490.082031;25545.84375;21262.470703;21592.951172
2022-06-14;21593.527344;22084.058594;20144.820313;21274.751953
2022-06-15;21265.111328;21666.794922;19254.548828;21586.835938
2022-06-16;21590.150391;21868.658203;19215.791016;19324.800781
2022-06-17;19328.658203;20222.208984;19288.179688;19498.513672
2022-06-18;19500.363281;19750.498047;16871.785156;18118.945313
2022-06-19;18112.523438;19728.083984;17213.371094;19593.433594
2022-06-20;19593.527344;19867.447266;18762.990234;19581.447266
2022-06-21;19576.462891;20469.611328;19389.306641;19665.748047
2022-06-22;19674.119141;19716.912109;18783.962891;18918.742188
2022-06-23;18918.34375;20078.339844;18883.224609;20044.783203
2022-06-24;20043.615234;20341.917969;19733.669922;20113.363281
2022-06-25;20115.214844;20387.386719;19860.359375;20369.789063
2022-06-26;20364.251953;20636.353516;19896.689453;19901.283203
2022-06-27;19902.175781;20292.884766;19475.283203;19598.34375
2022-06-28;19594.626953;19982.814453;19223.582031;19272.830078
2022-06-29;19273.337891;19340.898438;18932.667969;19245.863281
2022-06-30;19249.96875;19290.115234;17866.332031;18881.335938
2022-07-01;18915.447266;19707.171875;18245.089844;18476.548828
2022-07-02;18481.792969;18574.716797;18244.230469;18450.552734
2022-07-03;18450.398438;18762.560547;18186.574219;18496.458984
